9786041274198|Hệ điều hành|Dũng|Trẻ|2022|Tham khảo|110000|143000|0
9780194398725|Oxford dictionary|Oxford|Fahasa|2020|Từ điển|80000|104000|0
9786041140158|hệ điều hành|Đinh Bá Tiến|Trẻ|2019|Tham khảo|100000|130000|12
9786044861487|Cấu Trúc Dữ liệu|Trung Kiên|Sư phạm|2023|Giáo trình|95000|123500|22
9786047758609|Hackers Ielts|Hường Phạm|Gamma|2024|Tiếng Anh|200000|260000|0
9786042255875|Nhập môn lập trình|Phạm Minh Tuấn|KHTN|2022|Giáo trình|100000|130000|35
9786326204803|Design Pattern|O'Reilly|Penguin|2020|Tham khảo|200000|260000|13
9786042327145|Conan|Gosho Aoyama|Kim Đồng|2010|Truyện tranh|15000|19500|8
9786042378369|cơ sở dữ liệu|Tuấn Minh|KHTN|2025|Giáo trình|50000|65000|22
9786041270138|Mạng Máy Tính|Tuyết Cương|Khoa học|2019|tham khảo|75000|97500|26
